Partlist

Exported from hap.brd at 16-8-2016 12:26:38

EAGLE Version 7.1.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part     Value                 Package            Library                       Position (mm)         Orientation
L204     0R (N.C.)             R0603              gknff                         (34.75 162.3)         R90
L301     MH2029-300Y           0805               Protezione                    (17.3 27.7)           R180
L302     1.8nH                 L0402              gknff                         (8.6 13.95)           R90
L303     4.7uH, 1.2A           CDRH2D09           SparkFun                      (53.9 47.1)           R90
LED101   Yellow                LED-0603           SparkFun-LED                  (40 38.3)             R270
LED102   Yellow                LED-1206           SparkFun-LED                  (24 161)              MR180
LED103   Yellow                LED-1206           SparkFun-LED                  (32 161)              MR180
LED104   Green                 LED-1206           SparkFun-LED                  (40 161)              MR180
LED105   Red                   LED-0603           SparkFun-LED                  (59.7 48.6)           R90
LED106   Red                   LED-0603           SparkFun-LED                  (35.2 54.7)           R180
LED107   Red                   LED-0603           SparkFun-LED                  (30.25 31.25)         R180
Q101     FDN340P               SOT23-S-PADS       gknff                         (39.6 49.9)           R180
Q102     FDN340P               SOT23-S-PADS       gknff                         (34.6 28.6)           R90
Q201     FDN340P               SOT23-S-PADS       gknff                         (10.8 144.1)          R0
Q301     2N7002                SOT23-S-PADS       gknff                         (21.8 76.6)           R0
Q302     2N7002                SOT23-S-PADS       gknff                         (49.2 57.8)           R0
Q303     FDN340P               SOT23-S-PADS       gknff                         (22.7 80.2)           R0
Q304     FDN340P               SOT23-S-PADS       gknff                         (50.1 61.9)           R0
R101     4.7M                  R0402              gknff                         (44.4 38.3)           R180
R102     10M                   R0402              gknff                         (44.4 37.2)           R0
R103     1k                    R0402              gknff                         (6.5 74.5)            R90
R104     33R                   R0402              gknff                         (7.5 74.5)            R90
R105     100k                  R0402              gknff                         (42.6 52.6)           R90
R106     1k                    R0402              gknff                         (40 37)               R180
R107     2k                    R0402              gknff                         (37 38.4)             R270
R108     220R                  R0603              gknff                         (18.5 160.3)          MR180
R109     220R                  R0603              gknff                         (30.5 156.9)          MR90
R110     220R                  R0603              gknff                         (38.5 156.9)          MR90
R111     1k                    R0402              gknff                         (60 47.1)             R0
R112     1k                    R0402              gknff                         (35.2 58)             R270
R113     1k                    R0402              gknff                         (30.25 34.1)          R270
R114     100k                  R0402              gknff                         (16.8 68.5)           R0
R115     330R                  R0402              gknff                         (16.8 67.4)           R180
R116     3M                    R0402              gknff                         (40.9 13.4)           R90
R117     4.7M                  R0402              gknff                         (39.8 13.4)           R270
R118     100k                  R0402              gknff                         (36.6 70.3)           R0
R119     100k                  R0402              gknff                         (36.6 69.1)           R0
R120     100k                  R0402              gknff                         (36.6 67.8)           R0
R121     0R                    R0402              gknff                         (11.7 57.2)           R0
R122     0R                    R0402              gknff                         (11.7 58.2)           R0
R201     0R                    R0402              gknff                         (28.3 139.2)          R270
R202     0R                    R0402              gknff                         (33.1 139.2)          R270
R203     0R                    R0402              gknff                         (34.1 139.2)          R90
R204     100k                  R0402              gknff                         (36.4 139.2)          R270
R205     0R                    R0603              gknff                         (17 153.5)            R0
R206     0R (N.C.)             R0603              gknff                         (17 152)              R180
R207     10k                   R0402              gknff                         (10.4 141.5)          R180
R301     100k                  R0402              gknff                         (18.1 11.6)           R90
R302     330R                  R0402              gknff                         (19.2 11.6)           R270
R303     10k                   R0402              gknff                         (19.5 76)             R270
R304     2M                    0603-RES           SparkFun                      (53.15 37.2)          R0
R305     220k                  0603-RES           SparkFun                      (50.1 37.2)           R0
R306     10k                   R0402              gknff                         (46.7 57.3)           R270
R307     10k                   R0402              gknff                         (25.4 78.7)           R90
R308     10k                   R0402              gknff                         (52.1 58.7)           R90
R309     1M                    R0402              gknff                         (15.5 75.1)           R180
R310     2M                    R0402              gknff                         (15.5 74)             R0
R311     1M                    R0402              gknff                         (12.6 75.1)           R0
R312     2M                    R0402              gknff                         (12.6 74)             R180
R313     220k                  0603-RES           SparkFun                      (57.5 40.3)           R90
R314     5R1                   R0603              gknff                         (60 63)               R90
R315     2M                    0603-RES           SparkFun                      (59.6 40.3)           R270
R316     1k (DNP)              R0402              gknff                         (50.9 52)             R180
R317     1M                    R0402              gknff                         (48.9 52)             R180
R318     2M                    R0402              gknff                         (48.9 53.1)           R0
SENS301  METHANE_SENSOR        MQ-3               SparkFun-Sensors              (52 73)               R0
SG101    BUZZERPTH             BUZZER-12MM        SparkFun-Electromechanical    (49.7 26.8)           R0
